province,station_count
DKI Jakarta,423
Jawa Barat,388
Jawa Timur,231
Jawa Tengah,228
Banten,195
Bali,136
Sumatera Utara,75
Kalimantan Timur,71
Sumatera Barat,61
Lampung,57
Riau,54
Kalimantan Barat,50
Sulawesi Selatan,49
Sumatera Selatan,43
Nusa Tenggara Barat,39
Kalimantan Selatan,38
Aceh,33
Kepulauan Bangka Belitung,30
Nusa Tenggara Timur,29
Kalimantan Tengah,27
Sulawesi Utara,25
DI Yogyakarta,20
Jambi,19
Papua,18
Maluku,16
Sulawesi Tengah,13
Sulawesi Tenggara,10
Papua Barat,9
Bengkulu,9
Maluku Utara,7
Kalimantan Utara,7
Kepulauan Riau,6
Gorontalo,5
Sulawesi Barat,5
